-90 -135 -115
-90 -67 -115
-90 0 -115
-90 45 -115
-90 -135 -22
-90 -67 -22
-90 0 -22
-90 45 -22
-90 -135 -45
-90 -67 -45
-90 0 -45
-90 45 -45
-90 -135 -67
-90 -67 -67
-90 0 -67
-90 45 -67
-90 -135 -90
-90 -67 -90
-90 0 -90
-90 45 -90
-90 -135 0
-90 -67 0
-90 0 0
-90 45 0
-90 -135 22
-90 -67 22
-90 0 22
-90 45 22
-90 -135 45
-90 -67 45
-90 0 45
-90 45 45
-90 -135 67
-90 -67 67
-90 0 67
-90 45 67
-90 -135 90
-90 -67 90
-90 0 90
-90 45 90
0 -135 -115
0 -67 -115
0 0 -115
0 45 -115
0 -135 -22
0 -67 -22
0 0 -22
0 45 -22
0 -135 -45
0 -67 -45
0 0 -45
0 45 -45
0 -135 -67
0 -67 -67
0 0 -67
0 45 -67
0 -135 -90
0 -67 -90
0 0 -90
0 45 -90
0 -135 0
0 -67 0
0 45 0
0 -135 22
0 -67 22
0 0 22
0 45 22
0 -135 45
0 -67 45
0 0 45
0 45 45
0 -135 67
0 -67 67
0 0 67
0 45 67
0 -135 90
0 -67 90
0 0 90
0 45 90
90 -135 -115
90 -67 -115
90 0 -115
90 45 -115
90 -135 -22
90 -67 -22
90 0 -22
90 45 -22
90 -135 -45
90 -67 -45
90 0 -45
90 45 -45
90 -135 -67
90 -67 -67
90 0 -67
90 45 -67
90 -135 -90
90 -67 -90
90 0 -90
90 45 -90
90 -135 0
90 -67 0
90 0 0
90 45 0
90 -135 22
90 -67 22
90 0 22
90 45 22
90 -135 45
90 -67 45
90 0 45
90 45 45
90 -135 67
90 -67 67
90 0 67
90 45 67
90 -135 90
90 -67 90
90 0 90
90 45 90
